,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,HQ_Pass
11672,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:51,5,5,1,0,Clarkson Golden Knights,Taylor Turnquist,Play,10,17,Indirect,,,,Loren Gabel,48.0,6.0,1191,11673,Home Team,10,48.0,17,6.0,39.56008089,1,Close Lead,"[1, 1]",1,1,Even,Yes
11673,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:49,5,5,1,0,Clarkson Golden Knights,Loren Gabel,Play,53,3,Direct,,,,Elizabeth Giguere,60.0,69.0,1189,11674,Home Team,53,60.0,3,69.0,66.37017402,1,Close Lead,"[2, 2]",2,2,Even,Yes
11682,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:25,5,5,1,0,St. Lawrence Saints,Sonjia Shelly,Play,9,47,Indirect,,,,Lydia Grauer,9.0,51.0,1165,11683,Away Team,191,191.0,38,34.0,4.0,-1,Close Trail,"[0, 0]",0,0,Even,Yes
11683,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:23,5,5,1,0,St. Lawrence Saints,Lydia Grauer,Play,15,68,Indirect,,,,Steph Keryluk,49.0,75.0,1163,11684,Away Team,185,151.0,17,10.0,34.71310992,-1,Close Trail,"[2, 2]",2,2,Even,No
11684,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:21,5,5,1,0,St. Lawrence Saints,Steph Keryluk,Incomplete Play,49,75,Direct,,,,Nadine Edney,65.0,74.0,1161,11685,Away Team,151,135.0,10,11.0,16.03121954,-1,Close Trail,"[2, 2]",2,2,Even,No
11686,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:18,5,5,1,0,Clarkson Golden Knights,Kelly Mariani,Play,156,52,Direct,,,,Taylar Cianfarano,180.0,42.0,1158,11687,Home Team,156,180.0,52,42.0,26.0,1,Close Lead,"[3, 3]",3,3,Even,Yes
11690,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,19:10,5,5,1,0,St. Lawrence Saints,Amanda Butterfield,Incomplete Play,58,9,Direct,,,,Charlea Pedersen,62.0,35.0,1150,11691,Away Team,142,138.0,76,50.0,26.30589288,-1,Close Trail,"[0, 0]",0,0,Even,No
11697,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:59,5,5,1,0,St. Lawrence Saints,Amanda Butterfield,Incomplete Play,29,67,Direct,,,,Kalie Grant,58.0,80.0,1139,11698,Away Team,171,142.0,18,5.0,31.78049716,-1,Close Trail,"[4, 4]",4,4,Even,No
11701,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:49,5,5,1,0,St. Lawrence Saints,Skylar Podvey,Incomplete Play,7,18,Indirect,,,,Jessica Poirier,40.0,7.0,1129,11702,Away Team,193,160.0,67,78.0,34.78505426,-1,Close Trail,"[2, 2]",2,2,Even,No
11704,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:44,5,5,1,0,Clarkson Golden Knights,Emma Keenan,Incomplete Play,137,81,Indirect,,,,Kelly Mariani,172.0,83.0,1124,11705,Home Team,137,172.0,81,83.0,35.05709629,1,Close Lead,"[1, 1]",1,1,Even,No
11706,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:38,5,5,1,0,St. Lawrence Saints,Kayla Nielsen,Play,5,54,Indirect,,,,Jessica Poirier,64.0,3.0,1118,11707,Away Team,195,136.0,31,82.0,77.98717843,-1,Close Trail,"[4, 4]",4,4,Even,No
11709,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:31,5,5,1,0,Clarkson Golden Knights,Josiane Pozzebon,Incomplete Play,60,39,Indirect,,,,Taylar Cianfarano,111.0,6.0,1111,11710,Home Team,60,111.0,39,6.0,60.74537019,1,Close Lead,"[3, 3]",3,3,Even,No
11711,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:25,5,5,1,0,St. Lawrence Saints,Amanda Butterfield,Play,3,54,Indirect,,,,Skylar Podvey,5.0,64.0,1105,11712,Away Team,197,195.0,31,21.0,10.19803903,-1,Close Trail,"[1, 1]",1,1,Even,Yes
11712,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:22,5,5,1,0,St. Lawrence Saints,Skylar Podvey,Play,9,68,Direct,,,,Kayla Nielsen,34.0,54.0,1102,11713,Away Team,191,166.0,17,31.0,28.65309756,-1,Close Trail,"[3, 3]",3,3,Even,Yes
11713,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:22,5,5,1,0,St. Lawrence Saints,Kayla Nielsen,Play,36,56,Direct,,,,Rachael Smith,49.0,76.0,1102,11714,Away Team,164,151.0,29,9.0,23.85372088,-1,Close Trail,"[0, 0]",0,0,Even,Yes
11715,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:16,5,5,1,0,St. Lawrence Saints,Rachael Smith,Incomplete Play,149,78,Direct,,,,Kayla Nielsen,136.0,67.0,1096,11716,Away Team,51,64.0,7,18.0,17.02938637,-1,Close Trail,"[2, 2]",2,2,Even,No
11717,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:13,5,5,1,0,Clarkson Golden Knights,Kristy Pidgeon,Incomplete Play,70,38,Direct,,,,Tia Stoddard,83.0,14.0,1093,11718,Home Team,70,83.0,38,14.0,27.29468813,1,Close Lead,"[2, 2]",2,2,Even,No
11719,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:10,5,5,1,0,St. Lawrence Saints,Kayla Nielsen,Play,94,69,Indirect,,,,Justine Reyes,115.0,80.0,1090,11720,Away Team,106,85.0,16,5.0,23.70653918,-1,Close Trail,"[3, 3]",3,3,Even,Yes
11721,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:05,5,5,1,0,St. Lawrence Saints,Justine Reyes,Play,170,46,Direct,,,,Steph Keryluk,180.0,33.0,1085,11722,Away Team,30,20.0,39,52.0,16.40121947,-1,Close Trail,"[3, 3]",3,3,Even,Yes
11724,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,18:00,5,5,1,0,St. Lawrence Saints,Steph Keryluk,Play,146,7,Direct,,,,Kristen Guerriero,131.0,13.0,1080,11725,Away Team,54,69.0,78,72.0,16.15549442,-1,Close Trail,"[2, 2]",2,2,Even,Yes
11725,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:59,5,5,1,0,St. Lawrence Saints,Kristen Guerriero,Play,131,13,Indirect,,,,Nadine Edney,195.0,31.0,1079,11726,Away Team,69,5.0,72,54.0,66.48308055,-1,Close Trail,"[1, 1]",1,1,Even,Yes
11726,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:53,5,5,1,0,St. Lawrence Saints,Nadine Edney,Play,191,49,Direct,,,,Steph Keryluk,183.0,46.0,1073,11727,Away Team,9,17.0,36,39.0,8.544003745,-1,Close Trail,"[6, 6]",6,6,Even,Yes
11729,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:46,5,5,1,0,St. Lawrence Saints,Nadine Edney,Play,183,76,Direct,,,,Claire Dudley,130.0,73.0,1066,11730,Away Team,17,70.0,9,12.0,53.08483776,-1,Close Trail,"[5, 5]",5,5,Even,No
11730,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:43,5,5,1,0,St. Lawrence Saints,Claire Dudley,Incomplete Play,131,65,Direct,,,,Justine Reyes,169.0,54.0,1063,11731,Away Team,69,31.0,20,31.0,39.56008089,-1,Close Trail,"[3, 3]",3,3,Even,No
11732,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:39,5,5,1,0,Clarkson Golden Knights,Ella Shelton,Play,6,35,Indirect,,,,Morgan Helgeson,41.0,82.0,1059,11733,Home Team,6,41.0,35,82.0,58.6003413,1,Close Lead,"[2, 2]",2,2,Even,No
11735,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:28,5,5,1,0,St. Lawrence Saints,Claire Dudley,Play,17,6,Indirect,,,,Justine Reyes,41.0,4.0,1048,11736,Away Team,183,159.0,79,81.0,24.08318916,-1,Close Trail,"[2, 2]",2,2,Even,No
11742,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:14,5,5,1,0,Clarkson Golden Knights,Ella Shelton,Play,41,76,Direct,,,,Elizabeth Giguere,56.0,75.0,1034,11743,Home Team,41,56.0,76,75.0,15.03329638,1,Close Lead,"[2, 2]",2,2,Even,Yes
11743,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:13,5,5,1,0,Clarkson Golden Knights,Elizabeth Giguere,Play,59,72,Indirect,,,,Michala Pejzlova,55.0,74.0,1033,11744,Home Team,59,55.0,72,74.0,4.472135955,1,Close Lead,"[1, 1]",1,1,Even,Yes
11744,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:11,5,5,1,0,Clarkson Golden Knights,Michala Pejzlova,Play,96,79,Direct,,,,Loren Gabel,121.0,79.0,1031,11745,Home Team,96,121.0,79,79.0,25.0,1,Close Lead,"[2, 2]",2,2,Even,Yes
11746,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:07,5,5,1,0,Clarkson Golden Knights,Loren Gabel,Incomplete Play,168,74,Direct,,,,Michala Pejzlova,175.0,45.0,1027,11747,Home Team,168,175.0,74,45.0,29.83286778,1,Close Lead,"[3, 3]",3,3,Even,No
11748,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,17:03,5,5,1,0,St. Lawrence Saints,Jacquie Diffley,Incomplete Play,6,15,Indirect,,,,Maggie McLaughlin,62.0,7.0,1023,11749,Away Team,194,138.0,70,78.0,56.56854249,-1,Close Trail,"[2, 2]",2,2,Even,No
11754,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,16:45,5,5,1,0,St. Lawrence Saints,Lydia Grauer,Play,47,12,Direct,,,,Maggie McLaughlin,77.0,16.0,1005,11755,Away Team,153,123.0,73,69.0,30.2654919,-1,Close Trail,"[1, 1]",1,1,Even,Yes
11758,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,16:37,5,5,1,0,Clarkson Golden Knights,Emma Keenan,Play,4,61,Indirect,,,,Taylar Cianfarano,47.0,5.0,997,11759,Home Team,4,47.0,61,5.0,70.60453243,1,Close Lead,"[1, 1]",1,1,Even,No
11763,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,16:27,5,5,1,0,Clarkson Golden Knights,Cassidy Vinkle,Incomplete Play,82,5,Direct,,,,Kelly Mariani,113.0,70.0,987,11764,Home Team,82,113.0,5,70.0,72.01388755,1,Close Lead,"[3, 3]",3,3,Even,No
11770,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,16:06,5,5,1,0,Clarkson Golden Knights,Morgan Helgeson,Play,199,35,Indirect,,,,Kristy Pidgeon,193.0,67.0,966,11771,Home Team,199,193.0,35,67.0,32.55764119,1,Close Lead,"[2, 2]",2,2,Even,Yes
11771,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,16:01,5,5,1,0,Clarkson Golden Knights,Kristy Pidgeon,Play,185,77,Indirect,,,,Morgan Helgeson,197.0,34.0,961,11772,Home Team,185,197.0,77,34.0,44.64302857,1,Close Lead,"[5, 5]",5,5,Even,No
11772,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:57,5,5,1,0,Clarkson Golden Knights,Morgan Helgeson,Play,197,34,Indirect,,,,Kristy Pidgeon,198.0,52.0,957,11773,Home Team,197,198.0,34,52.0,18.02775638,1,Close Lead,"[4, 4]",4,4,Even,No
11774,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:47,5,5,1,0,St. Lawrence Saints,Lydia Grauer,Incomplete Play,22,11,Direct,,,,Natalie Wozney,72.0,8.0,947,11775,Away Team,178,128.0,74,77.0,50.08991915,-1,Close Trail,"[3, 3]",3,3,Even,No
11783,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:29,5,5,1,0,St. Lawrence Saints,Sonjia Shelly,Play,5,43,Indirect,,,,Jacquie Diffley,4.0,41.0,929,11784,Away Team,195,196.0,42,44.0,2.236067977,-1,Close Trail,"[0, 0]",0,0,Even,Yes
11784,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:27,5,5,1,0,St. Lawrence Saints,Jacquie Diffley,Play,8,62,Direct,,,,Steph Keryluk,52.0,63.0,927,11785,Away Team,192,148.0,23,22.0,44.01136217,-1,Close Trail,"[2, 2]",2,2,Even,Yes
11785,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:23,5,5,1,0,St. Lawrence Saints,Steph Keryluk,Play,75,16,Direct,,,,Nadine Edney,112.0,22.0,923,11786,Away Team,125,88.0,69,63.0,37.48332963,-1,Close Trail,"[4, 4]",4,4,Even,Yes
11788,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:18,5,5,1,0,Clarkson Golden Knights,Avery Mitchell,Incomplete Play,9,67,Indirect,,,,Elizabeth Giguere,48.0,83.0,918,11789,Home Team,9,48.0,67,83.0,42.15447782,1,Close Lead,"[0, 0]",0,0,Even,No
11793,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:12,5,5,1,0,St. Lawrence Saints,Skylar Podvey,Play,130,4,Indirect,,,,Nadine Edney,165.0,4.0,912,11794,Away Team,70,35.0,81,81.0,35.0,-1,Close Trail,"[1, 1]",1,1,Even,No
11794,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:10,5,5,1,0,St. Lawrence Saints,Nadine Edney,Incomplete Play,175,4,Direct,,,,Steph Keryluk,179.0,40.0,910,11795,Away Team,25,21.0,81,45.0,36.22154055,-1,Close Trail,"[2, 2]",2,2,Even,No
11796,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:07,5,5,1,0,Clarkson Golden Knights,Michala Pejzlova,Play,8,64,Indirect,,,,Elizabeth Giguere,45.0,82.0,907,11797,Home Team,8,45.0,64,82.0,41.14608122,1,Close Lead,"[1, 1]",1,1,Even,Yes
11797,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,15:04,5,5,1,0,Clarkson Golden Knights,Elizabeth Giguere,Incomplete Play,65,78,Direct,,,,Loren Gabel,115.0,54.0,904,11798,Home Team,65,115.0,78,54.0,55.4616985,1,Close Lead,"[3, 3]",3,3,Even,No
11801,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:56,5,5,1,0,St. Lawrence Saints,Skylar Podvey,Play,18,13,Direct,,,,Nadine Edney,42.0,31.0,896,11802,Away Team,182,158.0,72,54.0,30.0,-1,Close Trail,"[2, 2]",2,2,Even,Yes
11802,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:54,5,5,1,0,St. Lawrence Saints,Nadine Edney,Play,66,28,Direct,,,,Steph Keryluk,103.0,9.0,894,11803,Away Team,134,97.0,57,76.0,41.59326869,-1,Close Trail,"[2, 2]",2,2,Even,Yes
11803,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:52,5,5,1,0,St. Lawrence Saints,Steph Keryluk,Play,109,6,Indirect,,,,Justine Reyes,106.0,11.0,892,11804,Away Team,91,94.0,79,74.0,5.830951895,-1,Close Trail,"[2, 2]",2,2,Even,Yes
11805,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:47,5,5,1,0,St. Lawrence Saints,Justine Reyes,Incomplete Play,177,5,Direct,,,,Charlea Pedersen,138.0,47.0,887,11806,Away Team,23,62.0,80,38.0,57.31491952,-1,Close Trail,"[4, 4]",4,4,Even,No
11807,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:41,5,5,1,0,Clarkson Golden Knights,Taylor Turnquist,Play,22,13,Direct,,,,Cassidy Vinkle,40.0,11.0,881,11808,Home Team,22,40.0,13,11.0,18.11077028,1,Close Lead,"[3, 3]",3,3,Even,No
11808,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:40,5,5,1,0,Clarkson Golden Knights,Cassidy Vinkle,Incomplete Play,50,4,Direct,,,,Elizabeth Giguere,102.0,73.0,880,11809,Home Team,50,102.0,4,73.0,86.40023148,1,Close Lead,"[1, 1]",1,1,Even,No
11810,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:34,5,5,1,0,St. Lawrence Saints,Kristen Guerriero,Play,30,55,Indirect,,,,Kalie Grant,71.0,75.0,874,11811,Away Team,170,129.0,30,10.0,45.61797891,-1,Close Trail,"[4, 4]",4,4,Even,Yes
11813,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:27,5,5,1,0,Clarkson Golden Knights,Kelly Mariani,Play,6,34,Indirect,,,,Emma Keenan,42.0,82.0,867,11814,Home Team,6,42.0,34,82.0,60.0,1,Close Lead,"[1, 1]",1,1,Even,Yes
11814,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:25,5,5,1,0,Clarkson Golden Knights,Emma Keenan,Play,42,82,Indirect,,,,Taylar Cianfarano,64.0,82.0,865,11815,Home Team,42,64.0,82,82.0,22.0,1,Close Lead,"[2, 2]",2,2,Even,No
11815,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:24,5,5,1,0,Clarkson Golden Knights,Taylar Cianfarano,Play,64,82,Direct,,,,Cassidy Vinkle,61.0,72.0,864,11816,Home Team,64,61.0,82,72.0,10.44030651,1,Close Lead,"[1, 1]",1,1,Even,No
11820,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:07,5,4,1,0,Clarkson Golden Knights,Taylar Cianfarano,Play,169,83,Direct,,,,Josiane Pozzebon,132.0,45.0,847,11821,Home Team,169,132.0,83,45.0,53.03772242,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11821,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:05,5,4,1,0,Clarkson Golden Knights,Josiane Pozzebon,Play,131,22,Direct,,,,Taylor Turnquist,128.0,55.0,845,11822,Home Team,131,128.0,22,55.0,33.13608305,1,Close Lead,"[2, 2]",2,2,Advantage,Yes
11822,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,14:00,5,4,1,0,Clarkson Golden Knights,Taylor Turnquist,Play,139,52,Direct,,,,Kristy Pidgeon,179.0,8.0,840,11823,Home Team,139,179.0,52,8.0,59.46427499,1,Close Lead,"[5, 5]",5,5,Advantage,Yes
11823,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:57,5,4,1,0,Clarkson Golden Knights,Kristy Pidgeon,Play,174,6,Direct,,,,Josiane Pozzebon,132.0,5.0,837,11824,Home Team,174,132.0,6,5.0,42.01190308,1,Close Lead,"[3, 3]",3,3,Advantage,Yes
11824,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:56,5,4,1,0,Clarkson Golden Knights,Josiane Pozzebon,Play,128,11,Direct,,,,Taylor Turnquist,133.0,70.0,836,11825,Home Team,128,133.0,11,70.0,59.21148537,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11825,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:50,5,4,1,0,Clarkson Golden Knights,Taylor Turnquist,Play,190,74,Direct,,,,Taylar Cianfarano,136.0,74.0,830,11826,Home Team,190,136.0,74,74.0,54.0,1,Close Lead,"[6, 6]",6,6,Advantage,Yes
11826,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:47,5,4,1,0,Clarkson Golden Knights,Taylar Cianfarano,Play,130,48,Direct,,,,Taylor Turnquist,155.0,65.0,827,11827,Home Team,130,155.0,48,65.0,30.23243292,1,Close Lead,"[3, 3]",3,3,Advantage,Yes
11831,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:38,5,4,1,0,Clarkson Golden Knights,Kassidy Sauve,Play,18,65,Direct,,,,Taylor Turnquist,11.0,63.0,818,11832,Home Team,18,11.0,65,63.0,7.280109888999999,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11832,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:34,5,4,1,0,Clarkson Golden Knights,Taylor Turnquist,Play,32,42,Direct,,,,Elizabeth Giguere,96.0,80.0,814,11833,Home Team,32,96.0,42,80.0,74.43117626,1,Close Lead,"[4, 4]",4,4,Advantage,Yes
11834,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:25,5,4,1,0,Clarkson Golden Knights,Elizabeth Giguere,Play,182,7,Direct,,,,Ella Shelton,130.0,4.0,805,11835,Home Team,182,130.0,7,4.0,52.08646657,1,Close Lead,"[6, 6]",6,6,Advantage,Yes
11835,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:24,5,4,1,0,Clarkson Golden Knights,Ella Shelton,Play,130,4,Direct,,,,Loren Gabel,138.0,77.0,804,11836,Home Team,130,138.0,4,77.0,73.43704787,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11836,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:21,5,4,1,0,Clarkson Golden Knights,Loren Gabel,Play,130,52,Direct,,,,Elizabeth Giguere,170.0,11.0,801,11837,Home Team,130,170.0,52,11.0,57.28001397,1,Close Lead,"[3, 3]",3,3,Advantage,Yes
11837,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:18,5,4,1,0,Clarkson Golden Knights,Elizabeth Giguere,Play,156,9,Direct,,,,Loren Gabel,150.0,22.0,798,11838,Home Team,156,150.0,9,22.0,14.31782106,1,Close Lead,"[3, 3]",3,3,Advantage,No
11838,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:16,5,4,1,0,Clarkson Golden Knights,Loren Gabel,Incomplete Play,171,15,Direct,,,,Taylar Cianfarano,181.0,47.0,796,11839,Home Team,171,181.0,15,47.0,33.52610923,1,Close Lead,"[2, 2]",2,2,Advantage,No
11842,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:04,5,4,1,0,Clarkson Golden Knights,Elizabeth Giguere,Play,5,42,Indirect,,,,Ella Shelton,5.0,42.0,784,11843,Home Team,5,5.0,42,42.0,0.0,1,Close Lead,"[2, 2]",2,2,Advantage,Yes
11843,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,13:02,5,4,1,0,Clarkson Golden Knights,Ella Shelton,Play,13,29,Direct,,,,Loren Gabel,46.0,5.0,782,11844,Home Team,13,46.0,29,5.0,40.80441153,1,Close Lead,"[2, 2]",2,2,Advantage,Yes
11844,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:59,5,4,1,0,Clarkson Golden Knights,Loren Gabel,Incomplete Play,94,11,Direct,,,,Michala Pejzlova,107.0,63.0,779,11845,Home Team,94,107.0,11,63.0,53.60037313,1,Close Lead,"[3, 3]",3,3,Advantage,No
11846,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:55,5,4,1,0,Clarkson Golden Knights,Michala Pejzlova,Incomplete Play,193,51,Direct,,,,Loren Gabel,185.0,43.0,775,11847,Home Team,193,185.0,51,43.0,11.3137085,1,Close Lead,"[1, 1]",1,1,Advantage,No
11853,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:41,5,4,1,0,Clarkson Golden Knights,Ella Shelton,Play,132,78,Indirect,,,,Michala Pejzlova,149.0,82.0,761,11854,Home Team,132,149.0,78,82.0,17.4642492,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11854,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:38,5,4,1,0,Clarkson Golden Knights,Michala Pejzlova,Play,154,83,Direct,,,,Josiane Pozzebon,131.0,29.0,758,11855,Home Team,154,131.0,83,29.0,58.69412236,1,Close Lead,"[3, 3]",3,3,Advantage,Yes
11855,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:37,5,4,1,0,Clarkson Golden Knights,Josiane Pozzebon,Play,147,23,Direct,,,,Ella Shelton,137.0,56.0,757,11856,Home Team,147,137.0,23,56.0,34.481879299999996,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11856,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:36,5,4,1,0,Clarkson Golden Knights,Ella Shelton,Incomplete Play,135,53,Direct,,,,Loren Gabel,186.0,76.0,756,11857,Home Team,135,186.0,53,76.0,55.94640292,1,Close Lead,"[1, 1]",1,1,Advantage,No
11858,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:31,5,4,1,0,Clarkson Golden Knights,Michala Pejzlova,Play,198,26,Direct,,,,Elizabeth Giguere,160.0,7.0,751,11859,Home Team,198,160.0,26,7.0,42.48529157,1,Close Lead,"[1, 1]",1,1,Advantage,Yes
11861,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:26,5,4,1,0,Clarkson Golden Knights,Michala Pejzlova,Play,197,28,Direct,,,,Loren Gabel,198.0,59.0,746,11862,Home Team,197,198.0,28,59.0,31.01612484,1,Close Lead,"[0, 0]",0,0,Advantage,Yes
11862,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:23,5,4,1,0,Clarkson Golden Knights,Loren Gabel,Play,193,72,Direct,,,,Josiane Pozzebon,133.0,81.0,743,11863,Home Team,193,133.0,72,81.0,60.67124525,1,Close Lead,"[3, 3]",3,3,Advantage,Yes
11863,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:21,5,4,1,0,Clarkson Golden Knights,Josiane Pozzebon,Play,133,74,Direct,,,,Ella Shelton,129.0,34.0,741,11864,Home Team,133,129.0,74,34.0,40.19950248,1,Close Lead,"[2, 2]",2,2,Advantage,Yes
11864,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:19,5,5,1,0,Clarkson Golden Knights,Ella Shelton,Play,141,18,Direct,,,,Josiane Pozzebon,144.0,47.0,739,11865,Home Team,141,144.0,18,47.0,29.15475947,1,Close Lead,"[2, 2]",2,2,Even,Yes
11867,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:14,5,5,1,0,Clarkson Golden Knights,Josiane Pozzebon,Play,176,5,Indirect,,,,Elizabeth Giguere,197.0,23.0,734,11868,Home Team,176,197.0,5,23.0,27.65863337,1,Close Lead,"[1, 1]",1,1,Even,No
11869,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,12:10,5,5,1,0,St. Lawrence Saints,Nadine Edney,Incomplete Play,11,32,Direct,,,,Kalie Grant,33.0,25.0,730,11870,Away Team,189,167.0,53,60.0,23.08679276,-1,Close Trail,"[2, 2]",2,2,Even,No
11875,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,11:59,5,5,1,0,St. Lawrence Saints,Skylar Podvey,Play,69,75,Indirect,,,,Maggie McLaughlin,107.0,77.0,719,11876,Away Team,131,93.0,10,8.0,38.05259518,-1,Close Trail,"[1, 1]",1,1,Even,Yes
11876,10/20/2018,Clarkson Golden Knights,St. Lawrence Saints,2,11:57,5,5,1,0,St. Lawrence Saints,Maggie McLaughlin,Play,118,79,Direct,,,,Skylar Podvey,141.0,72.0,717,11877,Away Team,82,59.0,6,13.0,24.04163056,-1,Close Trail,"[2, 2]",2,2,Even,Yes
